duration_baseline,s2_q3_baseline,s3_q6_7_baseline,s3_q6_9_baseline,s3_q23_baseline,s3_q1_baseline,s6_q6_baseline,s6f_q3_baseline,forecast_ability_baseline,s6f_q4_baseline,air_worry_baseline,s7_q10_baseline,s7_q12_baseline,s7_q13_baseline,s7_q14_baseline,s7_q16_baseline,outside_total_hrs_baseline,work_total_hrs_baseline,s7_q33_baseline,s9_q4_3_1_baseline,main_news_Geo_baseline,s9_q5_3_7_baseline,s9_q5_3_12_baseline,s9_q5_3_0_baseline,s9_q5_field_count_baseline,s9_q5_4_1_baseline,s9_q7_field_count_baseline,s9_q7_1_1_baseline,s9_q7_3_1_baseline,dem_q1_baseline,dem_q3_baseline,dem_q4_baseline,dem_q5_baseline,dem_q6_baseline,yrs_educ_formal_baseline,dem_q8_baseline,dem_q9_baseline,dem_q14_baseline,dem_q22_baseline,dem_q24_baseline,dem_q25_baseline,dem_q30_baseline,asset_index_baseline,dem_q31_baseline,dem_q32_baseline,tehsil_n_baseline,epd_treatment_baseline,s3_q11v12_baseline_r_std,s3_q15v16_baseline_r_std,num_sources_known_baseline,high_error,hhid,dem_q7_baseline,pref_baseline,pref_endline,wtp_paqi,wtp_epd,wtp_dif
2546,30,0,0,40,4,about the same as today,304,1.474058985710144,70,1,2,4,4,2,2,11,13,1,0,0,0,0,1,1,1,1,WhatsApp,0,son of household head,0,1,1,6,16,3,Owned,1,1,2,3,3,-0.06621140241622925,Earnings from trade,3,0,1,0.5258958465495415,0.6459654526106634,1,1,6028,University,0,0,300,320,-20
2500,37,0,0,40,4,worse than today,305,1.4821974039077759,90,1,3,2,4,1,2,3,15.5,1,0,0,0,0,1,1,1,2,WhatsApp,0,head of household,0,1,1,2,10,1,Owned,1,0,1,2,3,-0.06621140241622925,Daily labour,4,0,1,1.464520078998723,1.6207331401087366,1,1,5028,Secondary/Matric,0,0,250,300,-50
2516,28,0,0,50,4,about the same as today,290,1.3601220846176147,80,1,3,2,2,2,2,8,9,1,0,0,0,0,1,1,1,1,WhatsApp,0,son of household head,0,1,1,1,10,3,Owned,1,0,0,3,3,-0.8175992965698242,Daily labour,4,0,1,1.464520078998723,0.6459654526106634,1,1,6029,Secondary/Matric,0,0,310,360,-50
2748,27,0,0,50,5,better than today,280,1.2787384986877441,70,0,0,1,2,1,1,13,14,1,1,1,0,0,0,1,1,1,WhatsApp,1,son of household head,1,2,1,1,8,2,Owned,1,0,1,2,4,-0.8175992965698242,Earnings from trade,2,0,1,-1.3513526183488216,0.6459654526106634,2,1,4029,Middle (6-8),1,0,280,310,-30
2737,20,0,0,30,4,about the same as today,280,0.08527132123708725,90,1,1,4,4,2,2,13,13,1,0,1,0,0,1,1,1,1,WhatsApp,0,son of household head,0,1,1,1,10,1,Owned,1,0,1,2,2,0.685176432132721,Daily labour,4,0,1,1.464520078998723,1.6207331401087366,1,0,6015,Secondary/Matric,0,0,300,320,-20
4248,32,0,0,50,4,about the same as today,300,0.2687225043773651,85,0,4,1,1,1,2,12.5,11,1,0,0,0,0,0,0,1,1,Facebook,0,head of household,0,1,0,3,8,1,Rented,1,0,1,1,2,-0.8175992965698242,Earnings from trade,3,0,1,-1.3513526183488216,0.6459654526106634,3,0,1005,Middle (6-8),0,0,220,220,0
3264,40,0,0,50,1,about the same as today,250,0.05726873502135277,100,0,2,1,1,1,1,9,6,0,0,1,0,0,1,1,1,0,WhatsApp,0,head of household,1,1,1,7,8,3,Owned someone else,0,0,2,5,5,-1.5689871311187744,Daily labour,3,0,1,-0.4127283858996401,-0.32880223488740973,1,0,2001,Middle (6-8),1,0,400,400,0
2851,55,0,0,50,4,about the same as today,300,0.1627907007932663,70,1,2,4,4,2,2,10,15,1,0,1,0,0,0,1,0,0,WhatsApp,0,head of household,0,1,0,3,0,3,Owned,1,0,1,3,3,-0.06621140241622925,Private job with a salary,3,0,1,0.5258958465495415,2.5955008276068097,1,0,6020,Other,0,0,290,305,-15
2493,38,0,0,50,2,about the same as today,290,0.12403100728988647,85,0,2,1,1,2,1,2,14,1,0,0,1,0,0,1,1,2,WhatsApp,0,son of household head,1,2,1,4,10,1,Owned,1,0,1,2,3,-0.06621140241622925,Private job with a salary,4,0,1,-0.4127283858996401,0.6459654526106634,1,0,5020,Secondary/Matric,0,0,220,250,-30
3434,48,0,1,50,4,about the same as today,250,0.05726873502135277,70,1,1,2,2,2,1,0,11,1,0,1,1,0,0,1,0,0,WhatsApp,0,head of household,1,1,0,3,5,1,Owned,1,0,1,2,6,-0.06621140241622925,Earnings from trade,3,0,1,-1.3513526183488216,-1.303569922385483,1,0,3001,Primary (1-5),1,0,300,300,0
2698,42,0,0,50,1,about the same as today,290,0.12403100728988647,100,0,2,1,1,1,1,10.5,8,0,0,1,1,0,0,1,0,0,WhatsApp,0,head of household,0,1,1,1,1,2,Owned someone else,0,0,1,2,2,-1.5689871311187744,Earnings from trade,4,0,1,-0.4127283858996401,-0.32880223488740973,0,0,2006,Primary (1-5),1,0,210,210,0
2558,29,0,1,40,2,about the same as today,289,0.12015503644943237,90,1,4,4,4,1,2,3,13,1,1,1,0,0,1,1,1,2,WhatsApp,0,head of household,0,1,1,1,16,2,Owned,1,0,1,2,3,-0.06621140241622925,Private job with a salary,3,0,1,-0.4127283858996401,-0.32880223488740973,2,0,5018,University,0,0,250,270,-20
2483,40,0,0,50,4,better than today,300,0.1627907007932663,95,0,0,1,1,1,1,10,9,1,0,0,0,0,1,1,1,0,WhatsApp,0,head of household,0,1,0,3,16,2,Owned,1,0,1,2,2,0.685176432132721,Private job with a salary,3,0,1,0.5258958465495415,-1.303569922385483,3,0,1006,University,1,0,270,270,0
2625,40,0,0,50,1,better than today,300,0.1627907007932663,80,0,2,1,1,1,1,9.5,8,0,0,0,1,0,0,1,0,0,WhatsApp,0,head of household,0,1,1,4,8,1,Owned someone else,0,0,0,2,3,-0.8175992965698242,Daily labour,4,0,1,-0.4127283858996401,-0.32880223488740973,0,0,2007,Middle (6-8),1,0,150,150,0
