duration_baseline,s2_q3_baseline,s3_q6_7_baseline,s3_q6_9_baseline,s3_q23_baseline,s3_q1_baseline,s6_q6_baseline,s6f_q3_baseline,forecast_ability_baseline,s6f_q4_baseline,air_worry_baseline,s7_q10_baseline,s7_q12_baseline,s7_q13_baseline,s7_q14_baseline,s7_q16_baseline,outside_total_hrs_baseline,work_total_hrs_baseline,s7_q33_baseline,s9_q4_3_1_baseline,main_news_Geo_baseline,s9_q5_3_7_baseline,s9_q5_3_12_baseline,s9_q5_3_0_baseline,s9_q5_field_count_baseline,s9_q5_4_1_baseline,s9_q7_field_count_baseline,s9_q7_1_1_baseline,s9_q7_3_1_baseline,dem_q1_baseline,dem_q3_baseline,dem_q4_baseline,dem_q5_baseline,dem_q6_baseline,dem_q8_baseline,dem_q9_baseline,dem_q14_baseline,dem_q22_baseline,dem_q24_baseline,dem_q25_baseline,dem_q30_baseline,asset_index_baseline,dem_q31_baseline,dem_q32_baseline,tehsil_n_baseline,epd_treatment_baseline,s3_q11v12_baseline_r_std,s3_q15v16_baseline_r_std,num_sources_known_baseline,high_error,hhid,pref_baseline,pref_endline,wtp_paqi,wtp_epd,wtp_dif,dem_q7_baseline
2546,30,0,0,40,4,about the same as today,304,1.474058985710144,70,1,2,4,4,2,2,11,13,1,0,0,0,0,1,1,1,1,WhatsApp,0,son of household head,0,1,1,6,3,Owned,1,1,2,3,3,-0.06621140241622925,Earnings from trade,3,0,1,0.5258958465495415,0.6459654526106634,1,1,6028,0,0,300,320,-20,University
2500,37,0,0,40,4,worse than today,305,1.482197403907776,90,1,3,2,4,1,2,3,15.5,1,0,0,0,0,1,1,1,2,WhatsApp,0,head of household,0,1,1,2,1,Owned,1,0,1,2,3,-0.06621140241622925,Daily labour,4,0,1,1.464520078998723,1.6207331401087366,1,1,5028,0,0,250,300,-50,Secondary/Matric
2698,68,0,0,50,4,worse than today,280,1.278738498687744,70,1,1,4,2,2,2,10,14,1,1,0,0,0,1,1,1,0,WhatsApp,0,head of household,0,1,0,3,1,Rented,1,0,1,2,1,-0.06621140241622925,Daily labour,4,0,0,1.464520078998723,0.6459654526106634,1,0,6030,0,1,290,280,10,Primary (1-5)
2467,40,0,0,50,2,about the same as today,290,1.3601220846176147,80,0,4,2,2,1,2,3,13.5,1,0,0,0,0,0,1,1,2,WhatsApp,0,son of household head,0,1,0,3,2,Rented,1,0,1,3,4,-0.06621140241622925,Daily labour,4,0,0,0.5258958465495415,0.6459654526106634,1,1,5029,0,1,320,290,30,Primary (1-5)
2633,32,0,0,40,5,about the same as today,290,1.3705720901489258,80,0,1,1,2,2,1,10,12,1,1,0,0,0,0,1,1,1,WhatsApp,1,head of household,0,1,1,1,1,Owned,0,0,0,1,4,-0.06621140241622925,Earnings from trade,3,0,0,0.5258958465495415,0.6459654526106634,2,1,4027,0,1,250,220,30,Primary (1-5)
2780,34,0,0,40,5,worse than today,315,1.563580870628357,100,0,1,2,1,2,2,2,13,1,0,0,0,0,1,1,1,0,WhatsApp,0,son of household head,1,1,1,2,1,Owned,1,0,1,2,5,-0.8175992965698242,Earnings from trade,3,0,0,0.5258958465495415,0.6459654526106634,2,1,4030,0,1,250,220,30,Primary (1-5)
2516,28,0,0,50,4,about the same as today,290,1.3601220846176147,80,1,3,2,2,2,1,8,9,1,0,0,0,0,1,1,1,1,WhatsApp,0,son of household head,0,1,1,1,3,Owned,1,0,0,3,3,-0.8175992965698242,Daily labour,4,0,1,1.464520078998723,0.6459654526106634,1,1,6029,0,0,310,360,-50,Secondary/Matric
2451,40,0,1,50,2,worse than today,300,1.4415055513381958,85,0,2,1,1,2,1,4,14.5,1,1,1,0,0,0,1,0,2,WhatsApp,0,head of household,0,1,1,3,1,Owned,1,0,1,3,4,-0.06621140241622925,Earnings from trade,3,0,0,0.5258958465495415,0.6459654526106634,1,1,5030,0,1,280,250,30,Secondary/Matric
2783,28,0,0,50,4,worse than today,300,1.4415055513381958,80,0,3,2,1,1,1,3,15,1,1,0,0,0,0,1,1,1,Facebook,1,son of household head,1,2,1,1,2,Owned,1,0,1,2,5,0.685176432132721,Earnings from trade,3,0,0,-1.3513526183488216,-0.32880223488740973,2,1,4028,1,1,323,250,73,Primary (1-5)
2748,27,0,0,50,5,better than today,280,1.278738498687744,70,0,0,1,2,1,1,13,14,1,1,1,0,0,0,1,1,1,WhatsApp,1,son of household head,1,2,1,1,2,Owned,1,0,1,2,4,-0.8175992965698242,Earnings from trade,2,0,1,-1.3513526183488216,0.6459654526106634,2,1,4029,1,0,280,310,-30,Middle (6-8)
