duration_baseline,s2_q3_baseline,s3_q6_7_baseline,s3_q6_9_baseline,s3_q23_baseline,s3_q1_baseline,s6_q6_baseline,s6f_q3_baseline,forecast_ability_baseline,s6f_q4_baseline,air_worry_baseline,s7_q10_baseline,s7_q12_baseline,s7_q13_baseline,s7_q14_baseline,s7_q16_baseline,outside_total_hrs_baseline,work_total_hrs_baseline,s7_q33_baseline,s9_q4_3_1_baseline,main_news_Geo_baseline,s9_q5_3_7_baseline,s9_q5_3_12_baseline,s9_q5_3_0_baseline,s9_q5_field_count_baseline,s9_q5_4_1_baseline,s9_q7_field_count_baseline,s9_q7_1_1_baseline,s9_q7_3_1_baseline,dem_q1_baseline,dem_q3_baseline,dem_q4_baseline,dem_q5_baseline,dem_q6_baseline,yrs_educ_formal_baseline,dem_q8_baseline,dem_q9_baseline,dem_q14_baseline,dem_q22_baseline,dem_q24_baseline,dem_q25_baseline,dem_q30_baseline,asset_index_baseline,dem_q31_baseline,dem_q32_baseline,tehsil_n_baseline,epd_treatment_baseline,s3_q11v12_baseline_r_std,s3_q15v16_baseline_r_std,num_sources_known_baseline,high_error,hhid,dem_q7_baseline,pref_baseline,pref_endline,wtp_paqi,wtp_epd,wtp_dif
2698,68,0,0,50,4,worse than today,280,1.2787384986877441,70,1,1,4,2,2,2,10,14,1,1,0,0,0,1,1,1,0,WhatsApp,0,head of household,0,1,0,2,5,1,Rented,1,0,1,2,1,-0.06621140241622925,Daily labour,4,0,0,1.464520078998723,0.6459654526106634,1,0,6030,Primary (1-5),0,1,290,280,10
2467,40,0,0,50,2,about the same as today,290,1.3601220846176147,80,0,4,2,2,1,2,3,13.5,1,0,0,0,0,0,1,1,2,WhatsApp,0,son of household head,0,1,0,2,3,2,Rented,1,0,1,3,4,-0.06621140241622925,Daily labour,4,0,0,0.5258958465495415,0.6459654526106634,1,1,5029,Primary (1-5),0,1,320,290,30
2633,32,0,0,40,5,about the same as today,290,1.3705720901489258,80,0,1,1,2,1,1,10,12,1,1,0,0,0,0,1,1,1,WhatsApp,1,head of household,0,1,1,1,2,1,Owned,0,0,0,1,4,-0.06621140241622925,Earnings from trade,3,0,0,0.5258958465495415,0.6459654526106634,2,1,4027,Primary (1-5),0,1,250,220,30
2780,34,0,0,40,5,worse than today,315,1.563580870628357,100,0,1,2,1,2,2,2,13,1,0,0,0,0,1,1,1,0,WhatsApp,0,son of household head,1,1,1,2,5,1,Owned,1,0,1,2,5,-0.8175992965698242,Earnings from trade,3,0,0,0.5258958465495415,0.6459654526106634,2,1,4030,Primary (1-5),0,1,250,220,30
2451,40,0,1,50,2,worse than today,300,1.4415055513381958,85,0,2,1,1,2,1,4,14.5,1,1,1,0,0,0,1,0,2,WhatsApp,0,head of household,0,1,1,3,10,1,Owned,1,0,1,3,4,-0.06621140241622925,Earnings from trade,3,0,0,0.5258958465495415,0.6459654526106634,1,1,5030,Secondary/Matric,0,1,280,250,30
2783,28,0,0,50,4,worse than today,300,1.4415055513381958,80,0,3,2,1,1,1,3,15,1,1,0,0,0,0,1,1,1,Facebook,1,son of household head,1,2,1,1,5,2,Owned,1,0,1,2,5,0.685176432132721,Earnings from trade,3,0,0,-1.3513526183488216,-0.32880223488740973,2,1,4028,Primary (1-5),1,1,323,250,73
2558,35,0,0,30,2,about the same as today,290,0.12403100728988647,90,0,3,2,2,2,1,1.5,14,1,0,0,0,1,0,1,1,0,WhatsApp,0,son of household head,1,1,1,3,2,3,Owned,1,0,1,3,5,-0.8175992965698242,Daily labour,3,0,0,0.5258958465495415,0.6459654526106634,1,0,5015,Primary (1-5),0,1,300,260,40
3116,34,0,0,20,5,worse than today,300,0.1627907007932663,99,1,2,4,1,1,2,1,12,1,1,0,1,0,0,2,1,1,Facebook,0,head of household,1,1,1,1,16,2,Owned,1,1,2,4,5,1.436564326286316,Private job with a salary,1,0,0,0.5258958465495415,-0.32880223488740973,3,0,3007,University,0,1,250,250,0
2930,48,0,0,60,5,worse than today,295,0.1434108465909958,80,0,3,2,1,1,1,4,16,1,1,0,0,0,0,1,1,0,WhatsApp,0,head of household,0,1,1,2,0,2,Owned,1,0,0,1,4,-0.06621140241622925,Earnings from trade,3,0,0,0.5258958465495415,-1.303569922385483,1,0,4018,No formal education,1,1,290,250,40
2544,35,0,0,50,4,better than today,305,0.1821705400943756,80,0,4,1,1,1,2,1.5,16,1,0,0,0,0,1,1,1,2,WhatsApp,0,head of household,0,1,1,3,6,1,Owned,1,0,1,2,3,-0.06621140241622925,Earnings from trade,3,0,0,-0.4127283858996401,-0.32880223488740973,1,0,5016,Middle (6-8),0,1,250,210,40
