s2_q3_baseline,s3_q6_a_7_baseline,s3_q6_a_9_baseline,s3_q6_9_baseline,forecast_ability_baseline,s6f_q4_baseline,s7_q16_baseline,inside_total_hrs_baseline,work_total_hrs_baseline,s9_q4_field_count_baseline,dem_q2_baseline,dem_q3_baseline,dem_q5_baseline,yrs_educ_formal_baseline,dem_q8_baseline,own_house_baseline,asset_index_baseline,dem_q31_baseline,dem_q32_baseline,tehsil_n_baseline,epd_treatment_baseline,s7_q2_baseline_r,dem_q14_baseline,dem_q22_baseline,dem_q24_baseline,dem_q25_baseline,dem_q30_baseline,pref_baseline,pref_endline,wtp_paqi,wtp_epd,wtp_dif
30,0,0,0,1.474058985710144,70,2,13,13,1,10,0,1,16,3,1,-0.06621140241622925,Earnings from trade,3,0,1,4,1,1,2,3,3,0,0,300,320,-20
37,0,0,0,1.4821974039077759,90,2,21,15.5,1,5,0,1,10,1,1,-0.06621140241622925,Daily labour,4,0,1,4,1,0,1,2,3,0,0,250,300,-50
68,0,0,0,1.2787384986877441,70,2,14,14,1,2,0,0,5,1,0,-0.06621140241622925,Daily labour,4,0,0,5,1,0,1,2,1,0,1,290,280,10
40,0,0,0,1.3601220846176147,80,2,21,13.5,1,5,0,0,3,2,0,-0.06621140241622925,Daily labour,4,0,0,2,1,0,1,3,4,0,1,320,290,30
32,0,0,0,1.3705720901489258,80,1,14,12,1,3,0,1,2,1,1,-0.06621140241622925,Earnings from trade,3,0,0,2,0,0,0,1,4,0,1,250,220,30
34,0,0,0,1.563580870628357,100,2,22,13,0,6,1,1,5,1,1,-0.8175992965698242,Earnings from trade,3,0,0,1,1,0,1,2,5,0,1,250,220,30
28,0,0,0,1.3601220846176147,80,1,16,9,2,8,0,1,10,3,1,-0.8175992965698242,Daily labour,4,0,1,4,1,0,0,3,3,0,0,310,360,-50
40,0,0,1,1.4415055513381958,85,1,20,14.5,2,7,0,1,10,1,1,-0.06621140241622925,Earnings from trade,3,0,0,1,1,0,1,3,4,0,1,280,250,30
28,0,0,0,1.4415055513381958,80,1,21,15,1,5,1,1,5,2,1,0.685176432132721,Earnings from trade,3,0,0,1,1,0,1,2,5,1,1,323,250,73
27,0,0,0,1.2787384986877441,70,1,11,14,1,6,1,1,8,2,1,-0.8175992965698242,Earnings from trade,2,0,1,3,1,0,1,2,4,1,0,280,310,-30
20,0,0,0,0.08527132123708725,90,2,11,13,1,6,0,1,10,1,1,0.685176432132721,Daily labour,4,0,1,4,1,0,1,2,2,0,0,300,320,-20
32,0,0,0,0.2687225043773651,85,2,11.5,11,0,4,0,0,8,1,0,-0.8175992965698242,Earnings from trade,3,0,1,2,1,0,1,1,2,0,0,220,220,0
40,0,0,0,0.05726873502135277,100,1,15,6,0,14,1,1,8,3,0,-1.5689871311187744,Daily labour,3,0,1,1,0,0,2,5,5,1,0,400,400,0
55,0,0,0,0.1627907007932663,70,1,14,15,1,5,0,0,0,3,1,-0.06621140241622925,Private job with a salary,3,0,1,4,1,0,1,3,3,0,0,290,305,-15
35,0,0,0,0.12403100728988647,90,1,22.5,14,1,8,1,1,2,3,1,-0.8175992965698242,Daily labour,3,0,0,3,1,0,1,3,5,0,1,300,260,40
34,0,0,0,0.1627907007932663,99,2,23,12,1,7,1,1,16,2,1,1.436564326286316,Private job with a salary,1,0,0,5,1,1,2,4,5,0,1,250,250,0
48,0,0,0,0.1434108465909958,80,1,20,16,1,6,0,1,0,2,1,-0.06621140241622925,Earnings from trade,3,0,0,3,1,0,0,1,4,1,1,290,250,40
35,0,0,0,0.1821705400943756,80,2,22.5,16,2,5,0,1,6,1,1,-0.06621140241622925,Earnings from trade,3,0,0,1,1,0,1,2,3,0,1,250,210,40
45,0,0,0,0.10465116053819656,80,2,12,13,1,9,0,1,0,2,0,-0.8175992965698242,Daily labour,4,0,0,4,1,0,1,2,2,0,1,280,220,60
38,0,0,0,0.12403100728988647,85,1,22,14,1,8,1,1,10,1,1,-0.06621140241622925,Private job with a salary,4,0,1,1,1,0,1,2,3,0,0,220,250,-30
48,0,0,1,0.05726873502135277,70,1,24,11,0,9,1,0,5,1,1,-0.06621140241622925,Earnings from trade,3,0,1,4,1,0,1,2,6,1,0,300,300,0
35,0,0,0,0.04651162773370743,80,1,13,14,1,5,0,1,5,1,1,-1.5689871311187744,Daily labour,3,0,0,2,0,0,1,2,5,1,1,250,230,20
30,0,0,0,0.1627907007932663,100,1,20,14,1,12,1,1,8,3,1,-0.06621140241622925,Earnings from trade,3,0,0,2,1,0,1,3,6,0,1,300,250,50
46,0,0,0,0.24757711589336395,90,2,15,8,0,4,0,0,8,1,1,-1.5689871311187744,Private job with self-employment,4,0,0,3,1,0,1,2,2,1,1,250,250,0
42,0,0,0,0.12403100728988647,100,1,13.5,8,0,6,0,1,1,2,0,-1.5689871311187744,Earnings from trade,4,0,1,1,0,0,1,2,2,1,0,210,210,0
29,0,0,1,0.12015503644943237,90,2,21,13,1,6,0,1,16,2,1,-0.06621140241622925,Private job with a salary,3,0,1,4,1,0,1,2,3,0,0,250,270,-20
40,0,0,0,0.1627907007932663,95,1,14,9,0,9,0,0,16,2,1,0.685176432132721,Private job with a salary,3,0,1,3,1,0,1,2,2,1,0,270,270,0
40,0,0,0,0.1627907007932663,80,1,14.5,8,0,7,0,1,8,1,0,-0.8175992965698242,Daily labour,4,0,1,1,0,0,0,2,3,1,0,150,150,0
34,0,0,0,0.12403100728988647,80,2,17,13,1,7,1,1,18,3,1,-0.06621140241622925,Private job with a salary,3,0,0,4,1,0,1,2,3,0,1,295,250,45
28,0,0,0,1.3601220846176147,70,1,19,14,0,11,0,1,5,3,1,-0.06621140241622925,Earnings from trade,3,0,1,1,1,0,1,2,5,1,0,180,220,-40
27,0,0,0,0.24757711589336395,70,1,15.5,7.5,0,10,1,1,8,2,0,-0.8175992965698242,Daily labour,3,0,0,2,0,0,1,3,5,1,1,150,150,0
40,0,0,0,0.20155039429664612,80,2,23,11,1,7,0,1,8,2,1,-0.06621140241622925,Earnings from trade,3,0,0,4,1,0,1,3,3,0,1,200,200,0
20,0,0,0,0.2687225043773651,98,1,12.5,11,0,20,0,0,12,3,1,-0.8175992965698242,Private job with a salary,3,0,0,4,1,0,1,3,4,0,1,200,200,0
40,0,0,0,0.14185024797916412,80,2,23,12,1,4,0,0,8,2,1,1.436564326286316,Private job with a salary,2,0,0,4,1,1,1,1,3,1,1,250,250,0
40,0,0,1,0.2687225043773651,100,2,24,9,1,6,0,0,8,1,1,0.685176432132721,Daily labour,2,0,1,4,1,1,1,3,4,0,0,250,250,0
35,0,0,0,0.25180619955062866,100,1,15.333333969116211,8.333333015441895,0,5,0,1,10,1,1,-0.8175992965698242,Earnings from trade,3,0,1,3,0,0,1,2,4,1,0,200,200,0
40,0,0,0,0.1472868174314499,100,2,12.5,9,0,14,0,0,12,2,1,-0.8175992965698242,Earnings from trade,2,0,1,4,1,0,2,3,3,1,0,230,230,0
40,0,0,0,0.20155039429664612,90,2,12,16,1,4,0,1,10,1,1,-0.06621140241622925,Earnings from trade,4,0,0,1,1,0,1,2,4,1,1,320,280,40
23,0,0,0,0.08527132123708725,80,1,12,13,2,8,1,1,12,2,1,0.685176432132721,Private job with a salary,3,0,0,4,1,0,1,2,2,0,1,300,275,25
19,0,0,0,0.10465116053819656,70,2,21.5,13,1,5,0,1,8,2,1,-0.8175992965698242,Private job with a salary,3,0,0,4,1,0,0,2,4,0,1,290,250,40
42,0,0,0,0.24031007289886475,50,1,23,11,0,6,0,0,0,1,1,-0.06621140241622925,Earnings from trade,2,0,0,3,1,0,1,2,3,0,1,200,200,0
43,0,0,0,0.08527132123708725,80,2,13,8.5,0,16,0,0,12,3,1,-0.8175992965698242,Earnings from trade,3,0,0,4,1,0,2,3,3,1,1,320,320,0
23,0,0,0,0.2687225043773651,80,4,24,13,1,6,0,0,12,2,0,-0.8175992965698242,Earnings from trade,3,0,0,4,1,0,2,2,2,0,1,305,285,20
