s2_q3_baseline,s3_q6_a_7_baseline,s3_q6_a_9_baseline,s3_q6_9_baseline,forecast_ability_baseline,s6f_q4_baseline,s7_q16_baseline,inside_total_hrs_baseline,work_total_hrs_baseline,s9_q4_field_count_baseline,dem_q2_baseline,dem_q3_baseline,dem_q5_baseline,yrs_educ_formal_baseline,dem_q8_baseline,own_house_baseline,asset_index_baseline,dem_q31_baseline,dem_q32_baseline,tehsil_n_baseline,epd_treatment_baseline,s7_q2_baseline_r,dem_q14_baseline,dem_q22_baseline,dem_q24_baseline,dem_q25_baseline,dem_q30_baseline,pref_baseline,pref_endline,wtp_paqi,wtp_epd,wtp_dif
68,0,0,0,1.2787384986877441,70,2,14,14,1,2,0,0,5,1,0,-0.06621140241622925,Daily labour,4,0,0,5,1,0,1,2,1,0,1,290,280,10
40,0,0,0,1.3601220846176147,80,2,21,13.5,1,5,0,0,3,2,0,-0.06621140241622925,Daily labour,4,0,0,2,1,0,1,3,4,0,1,320,290,30
32,0,0,0,1.3705720901489258,80,1,14,12,1,3,0,1,2,1,1,-0.06621140241622925,Earnings from trade,3,0,0,2,0,0,0,1,4,0,1,250,220,30
34,0,0,0,1.563580870628357,100,2,22,13,0,6,1,1,5,1,1,-0.8175992965698242,Earnings from trade,3,0,0,1,1,0,1,2,5,0,1,250,220,30
40,0,0,1,1.4415055513381958,85,1,20,14.5,2,7,0,1,10,1,1,-0.06621140241622925,Earnings from trade,3,0,0,1,1,0,1,3,4,0,1,280,250,30
28,0,0,0,1.4415055513381958,80,1,21,15,1,5,1,1,5,2,1,0.685176432132721,Earnings from trade,3,0,0,1,1,0,1,2,5,1,1,323,250,73
35,0,0,0,0.12403100728988647,90,1,22.5,14,1,8,1,1,2,3,1,-0.8175992965698242,Daily labour,3,0,0,3,1,0,1,3,5,0,1,300,260,40
34,0,0,0,0.1627907007932663,99,2,23,12,1,7,1,1,16,2,1,1.436564326286316,Private job with a salary,1,0,0,5,1,1,2,4,5,0,1,250,250,0
48,0,0,0,0.1434108465909958,80,1,20,16,1,6,0,1,0,2,1,-0.06621140241622925,Earnings from trade,3,0,0,3,1,0,0,1,4,1,1,290,250,40
35,0,0,0,0.1821705400943756,80,2,22.5,16,2,5,0,1,6,1,1,-0.06621140241622925,Earnings from trade,3,0,0,1,1,0,1,2,3,0,1,250,210,40
45,0,0,0,0.10465116053819656,80,2,12,13,1,9,0,1,0,2,0,-0.8175992965698242,Daily labour,4,0,0,4,1,0,1,2,2,0,1,280,220,60
35,0,0,0,0.04651162773370743,80,1,13,14,1,5,0,1,5,1,1,-1.5689871311187744,Daily labour,3,0,0,2,0,0,1,2,5,1,1,250,230,20
30,0,0,0,0.1627907007932663,100,1,20,14,1,12,1,1,8,3,1,-0.06621140241622925,Earnings from trade,3,0,0,2,1,0,1,3,6,0,1,300,250,50
46,0,0,0,0.24757711589336395,90,2,15,8,0,4,0,0,8,1,1,-1.5689871311187744,Private job with self-employment,4,0,0,3,1,0,1,2,2,1,1,250,250,0
34,0,0,0,0.12403100728988647,80,2,17,13,1,7,1,1,18,3,1,-0.06621140241622925,Private job with a salary,3,0,0,4,1,0,1,2,3,0,1,295,250,45
27,0,0,0,0.24757711589336395,70,1,15.5,7.5,0,10,1,1,8,2,0,-0.8175992965698242,Daily labour,3,0,0,2,0,0,1,3,5,1,1,150,150,0
40,0,0,0,0.20155039429664612,80,2,23,11,1,7,0,1,8,2,1,-0.06621140241622925,Earnings from trade,3,0,0,4,1,0,1,3,3,0,1,200,200,0
20,0,0,0,0.2687225043773651,98,1,12.5,11,0,20,0,0,12,3,1,-0.8175992965698242,Private job with a salary,3,0,0,4,1,0,1,3,4,0,1,200,200,0
40,0,0,0,0.14185024797916412,80,2,23,12,1,4,0,0,8,2,1,1.436564326286316,Private job with a salary,2,0,0,4,1,1,1,1,3,1,1,250,250,0
40,0,0,0,0.20155039429664612,90,2,12,16,1,4,0,1,10,1,1,-0.06621140241622925,Earnings from trade,4,0,0,1,1,0,1,2,4,1,1,320,280,40
23,0,0,0,0.08527132123708725,80,1,12,13,2,8,1,1,12,2,1,0.685176432132721,Private job with a salary,3,0,0,4,1,0,1,2,2,0,1,300,275,25
19,0,0,0,0.10465116053819656,70,2,21.5,13,1,5,0,1,8,2,1,-0.8175992965698242,Private job with a salary,3,0,0,4,1,0,0,2,4,0,1,290,250,40
42,0,0,0,0.24031007289886475,50,1,23,11,0,6,0,0,0,1,1,-0.06621140241622925,Earnings from trade,2,0,0,3,1,0,1,2,3,0,1,200,200,0
43,0,0,0,0.08527132123708725,80,2,13,8.5,0,16,0,0,12,3,1,-0.8175992965698242,Earnings from trade,3,0,0,4,1,0,2,3,3,1,1,320,320,0
23,0,0,0,0.2687225043773651,80,4,24,13,1,6,0,0,12,2,0,-0.8175992965698242,Earnings from trade,3,0,0,4,1,0,2,2,2,0,1,305,285,20
23,0,1,1,0.24757711589336395,90,1,9.5,14.5,1,7,0,1,16,2,1,-0.06621140241622925,Earnings from trade,2,0,0,2,1,0,1,2,4,1,1,380,330,50
25,0,0,0,0.226431742310524,90,2,14,13,1,15,1,1,10,3,1,0.685176432132721,Earnings from trade,3,0,0,2,1,0,1,1,6,1,1,220,180,40
45,0,0,0,0.1434108465909958,95,1,23,0,0,5,0,0,9,1,0,-0.8175992965698242,Private job with self-employment,3,0,0,2,0,0,1,2,2,1,1,250,250,0
40,0,0,0,0.226431742310524,100,1,16,6,0,1,0,1,10,2,1,-1.5689871311187744,Earnings from trade,4,0,0,3,0,0,1,4,4,1,1,300,300,0
25,0,0,0,0.2687225043773651,90,2,14,9.5,0,3,0,0,12,1,1,-2.3203749656677246,Private job with a salary,5,0,0,4,0,0,1,2,2,1,1,200,200,0
45,0,1,1,0.18414099514484406,80,1,13.5,13.5,1,5,0,1,0,1,0,0.685176432132721,Daily labour,3,0,0,2,1,0,1,2,3,0,1,280,250,30
52,0,0,0,0.2898678779602051,100,1,22,11,1,6,0,1,10,1,1,-0.8175992965698242,Earnings from trade,3,0,0,3,1,0,1,2,4,1,1,300,250,50
45,0,0,0,0.226431742310524,90,1,24,14,1,6,1,0,2,1,1,-0.06621140241622925,Earnings from trade,3,0,0,3,1,0,0,1,2,0,1,300,260,40
32,0,0,0,0.027131782844662666,60,2,12,14,0,7,1,1,5,2,1,0.685176432132721,Earnings from trade,3,0,0,1,1,0,1,1,4,1,1,250,200,50
40,0,0,0,0.18414099514484406,80,1,21,13,2,7,0,1,3,1,1,-0.06621140241622925,Daily labour,3,0,0,3,1,0,1,2,3,0,1,270,250,20
30,0,0,0,0.1627907007932663,90,1,14.5,7,0,8,0,0,16,1,1,-0.8175992965698242,Private job with a salary,3,0,0,2,0,0,1,2,2,1,1,150,150,0
24,0,0,1,0.332158625125885,100,1,23,12,0,9,0,0,0,2,0,-0.06621140241622925,Daily labour,3,0,0,3,1,0,1,2,5,1,1,350,350,0
43,0,0,0,0.25180619955062866,95,1,15,8.5,0,11,0,0,16,2,1,-0.8175992965698242,Private job with self-employment,4,0,0,3,1,0,1,2,2,0,1,350,350,0
50,0,0,0,0.12403100728988647,70,2,13,15,1,6,0,1,0,1,1,-1.5689871311187744,Daily labour,3,0,0,4,1,0,0,2,3,0,1,345,230,115
56,0,0,0,0.12403100728988647,80,4,14,13,1,3,0,0,8,1,1,-0.06621140241622925,Earnings from trade,3,0,0,4,1,0,1,2,2,0,1,270,250,20
