meaning,estimate,std.error,statistic,p.value,adj_pvals
Time form open on screen,-0.006448152525043102,0.0023435648803602294,-2.7514290639361163,0.0061861338421559985,0.13609494452743195
Baseline Foreceast,0.03311984453208357,0.015117861710041274,2.190775730544313,0.029007887499908114,0.2534430213936869
Forecast error,-3.50572788878187,1.6848705054235653,-2.0807105813158935,0.03805595955032517,0.2534430213936869
AQ significantly affects quality of life at home.,-1.9183594976322418,0.8831893687094231,-2.1720817364858913,0.03039910977143853,0.2534430213936869
Hours Spent on Work,1.7939630132459112,0.3195105309025676,5.614722645223131,3.551214182895767e-8,2.3438013607112063e-6
Was this day typical?,4.839716783916297,2.28451813752945,2.118484727440212,0.034710989864299824,0.2534430213936869
Num SM used to gather info about social issues,3.4664055172704322,1.1425706007969956,3.0338654914212344,0.0025618298129584383,0.08454038382762846
This SM group talks about AQ in your neighbhorhood,5.263175555819571,2.5543421355078473,2.060481829217902,0.03995774742569898,0.2534430213936869
Respondant's HH Status = Head,4.9261136440208615,2.384295627438045,2.0660666350816705,0.03942477887693549,0.2534430213936869
Number of HH members that are employed.,-1.8820558847696391,0.9208051251764652,-2.043924206448088,0.041574059314939675,0.2534430213936869
Edu = Secondary/Matric,-4.7002836421317165,2.3071639066641634,-2.0372560564748388,0.042240503565614484,0.2534430213936869
